member_id,organization_id,branch_id,member_number,first_name,last_name,email,membership_status,segment,employment_status,city,state,postal_code,credit_score,risk_score,total_deposits,total_loans,total_relationship_value,annual_income,membership_date,created_at
9a765553-6742-4ea6-adee-0f7be7729e13,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010000,Anthony,Allen,member10000@example.com,active,new,student,Salado,TX,76571,638,58.55,29579.25,20821.74,50400.99,48375.37,1447098110000,1447100406000
b676eccb-c033-4d18-ab69-e372101330ba,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000002,M010001,Daniel,Wright,member10001@example.com,pending,gold,student,Temple,TX,76501,731,24.26,40571.42,257503.84,298075.26,119639.6,1513159791000,1513162939000
83fae610-3282-47b2-8686-a5f9af22a3c7,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000001,M010002,Steven,Hernandez,member10002@example.com,inactive,bronze,employed,Belton,TX,76513,617,77.0,16503.82,22798.33,39302.15,47266.46,1584447610000,1584449834000
8ad9b0a9-5826-4dd6-8c21-51a84b103733,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010003,Donald,Moore,member10003@example.com,inactive,platinum,student,Harker Heights,TX,76548,822,39.34,379424.65,161515.28,540939.93,319272.96,1560416604000,1560418785000
12736ab9-0f56-4455-b122-9a8bf6a08f07,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000002,M010004,Matthew,Martinez,member10004@example.com,active,bronze,employed,Austin,TX,78701,637,55.16,43223.84,49669.34,92893.18,54692.75,1551018583000,1551019292000
51a8066b-315f-4098-b47e-663e8c47ff86,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000001,M010005,Jonathan,Jones,member10005@example.com,active,bronze,employed,Round Rock,TX,78664,602,45.55,16338.64,47387.3,63725.94,38529.27,1563196098000,1563196667000
a09ec261-d964-41fd-9fc8-200f6ab4c098,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010006,Lisa,Brown,member10006@example.com,active,bronze,employed,Round Rock,TX,78664,649,11.23,29003.64,14915.82,43919.46,36150.55,1644056379000,1644058346000
5869db87-5737-4c4b-a5b0-e260f3003a85,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010007,Brian,Smith,member10007@example.com,active,bronze,employed,Copperas Cove,TX,76522,646,16.45,5033.13,4847.25,9880.38,36857.85,1475409213000,1475412614000
bf6b34b1-d688-41e3-b129-b818cc582a14,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010008,Betty,King,member10008@example.com,pending,silver,student,Austin,TX,78701,711,5.53,13338.06,48213.64,61551.7,55247.25,1766281640000,1766284436000
192bb038-3e54-40b7-aaa0-d0bb9e852cf7,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000002,M010009,Shirley,Johnson,member10009@example.com,active,silver,employed,Temple,TX,76501,685,39.31,4599.71,47885.91,52485.62,82132.49,1630033900000,1630034202000
978884aa-b634-45dc-b4d8-5d71fbb546a6,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000001,M010010,Justin,Moore,member10010@example.com,active,silver,retired,Salado,TX,76571,649,57.41,36347.75,26394.96,62742.71,95428.54,1470930228000,1470933172000
d449c19a-45a1-42fc-935d-a2726d1502a4,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010011,Kathleen,Young,member10011@example.com,pending,gold,employed,Temple,TX,76501,739,9.42,40261.66,241462.24,281723.9,89881.15,1598827658000,1598829277000
efbf112e-c591-46cb-87a1-69f8429ea483,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000003,M010012,Sarah,Green,member10012@example.com,active,bronze,employed,Salado,TX,76571,652,25.32,10638.37,37259.23,47897.6,52049.63,1711704414000,1711705943000
16f30c19-341b-4990-8622-b4e800f7b2b0,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000001,M010013,Raymond,Thomas,member10013@example.com,active,silver,employed,Copperas Cove,TX,76522,684,0.53,12564.96,47334.35,59899.31,58055.25,1723231852000,1723234333000
7764dede-e2ce-4884-bd5e-3182a9032d69,a1b2c3d4-e5f6-7890-abcd-ef1234567890,b0001000-0000-0000-0000-000000000001,M010014,Brandon,Martin,member10014@example.com,inactive,new,employed,Salado,TX,76571,714,38.94,28353.83,34783.24,63137.07,47635.83,1689149535000,1689152357000
